,FIRM GROWTH,ANNUAL SALES,INITIAL SALES,CREDIT ACCESS,_2015_a6b,,,,,,,,,,,,,,,,,,,,
,-6%,20000000,40000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,7%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,-10%,14400000000,136000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,89900%,13000000000,11000000000,1000000000,3,,,,,,,,,,,,,,,,,,,,
,-100%,18000000000,1500000000,500000000,3,,,,,,,,,,,,,,,,,,,,
,860%,2000000000,1750000000,600000000,3,,,,,,,,,,,,,,,,,,,,
,6%,22315000000,1620500000,300000000,3,,,,,,,,,,,,,,,,,,,,
,153%,64000000000,70000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-16%,14500000000,2000000000,200000000,2,,,,,,,,,,,,,,,,,,,,
,-86%,8400000000,8400000000,1000000000,2,,,,,,,,,,,,,,,,,,,,
,23%,960000000,116000000,5000000000,1,,,,,,,,,,,,,,,,,,,,
,10%,200000000,Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-35%,384000000,576000000,1000000000,3,,,,,,,,,,,,,,,,,,,,
,1900%,1260000000,1300000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-20%,1.34E+12,1100000000,2000000000,1,,,,,,,,,,,,,,,,,,,,
,12%,1697400000,2000000000,2000000000,1,,,,,,,,,,,,,,,,,,,,
,29%,30000000000,35000000,300000000,3,,,,,,,,,,,,,,,,,,,,
,-7%,Don't know (spontaneous),120000000,1500000000,3,,,,,,,,,,,,,,,,,,,,
